生产企业,生产日期,报价,报价有效期,联系地址,联系电话,联系人姓名
江苏锂电池股份有限公司,2025/1/25,10.17元/kg,2025/2/24,湖南省春梅县门头沟林街q座 153345,18004550999,唐洁
江苏锂电池股份有限公司,2025/1/31,11.11元/kg,2025/3/2,湖北省通辽市怀柔辽阳路z座 285750,15755891761,黄平
四川新能源材料有限公司,2025/1/31,10.26元/kg,2025/3/2,内蒙古自治区龙县华龙济南路j座 128299,18238442560,宋成
浙江绿色能源有限公司,2025/1/29,11.15元/kg,2025/2/28,黑龙江省慧县朝阳覃路j座 569120,14561908143,田鹏
湖北锂能科技有限公司,2025/1/24,10.43元/kg,2025/2/23,湖南省洁市花溪高路S座 114179,14769049826,徐秀兰
中国锂电池股份有限公司,2025/1/24,10.26元/kg,2025/2/23,新疆维吾尔自治区艳市崇文郑州路n座 246989,15645282688,王玉华
湖北锂能科技有限公司,2025/1/20,10.04元/kg,2025/2/19,辽宁省坤县山亭济南路N座 372494,18518152710,杨建
北京新能源材料有限公司,2025/1/15,10.51元/kg,2025/2/14,上海市香港市梁平许街i座 514511,14585699350,丁志强
广州锂电池科技有限公司,2025/2/4,11.61元/kg,2025/3/6,江西省秀芳县沙湾长沙路m座 930706,18035108511,刘宁
深圳创新能源科技有限公司,2025/1/29,11.91元/kg,2025/2/28,青海省六盘水县朝阳罗路Z座 943357,18253755368,王龙
中国锂电池股份有限公司,2025/1/25,10.2元/kg,2025/2/24,澳门特别行政区太原县花溪吴路C座 223344,18766178139,李阳
广州锂电池科技有限公司,2025/1/11,10.32元/kg,2025/2/10,香港特别行政区石家庄县崇文齐齐哈尔路g座 563730,13404801086,张旭
深圳创新能源科技有限公司,2025/1/26,10.19元/kg,2025/2/25,广西壮族自治区秀华县六枝特林街A座 980950,15284427195,萧斌
山东锂电科技股份有限公司,2025/1/28,10.15元/kg,2025/2/27,青海省璐市吉区李街a座 667268,15770069956,柳琳
浙江绿色能源有限公司,2025/1/27,11.69元/kg,2025/2/26,河南省梧州县蓟州阜新路K座 981084,13782592464,张玉华
广州锂电池科技有限公司,2025/1/30,11.16元/kg,2025/3/1,安徽省亮县高港兰州路e座 770943,15587458508,吕秀芳
北京新能源材料有限公司,2025/1/9,11.7元/kg,2025/2/8,宁夏回族自治区海口市涪城刘路W座 484637,15500607755,黄丽丽
北京新能源材料有限公司,2025/2/4,10.48元/kg,2025/3/6,黑龙江省哈尔滨县沈河杨路b座 108067,13917069925,王伟
广州锂电池科技有限公司,2025/1/17,11.5元/kg,2025/2/16,四川省关岭市山亭贵阳路V座 168629,15237507150,尹霞
江苏锂电池股份有限公司,2025/1/11,11.84元/kg,2025/2/10,辽宁省梧州县大东唐路i座 723677,15136926103,高刚
四川新能源材料有限公司,2025/1/12,10.81元/kg,2025/2/11,山西省玉珍县兴山广州路r座 346445,13336273617,刘帅
中国锂电池股份有限公司,2025/1/15,10.6元/kg,2025/2/14,浙江省潮州市怀柔南宁路P座 912268,13396381285,唐建华
湖北锂能科技有限公司,2025/1/27,11.17元/kg,2025/2/26,江苏省建军县滨城银川路Z座 204276,13019608792,陈秀云
北京新能源材料有限公司,2025/1/20,11.78元/kg,2025/2/19,甘肃省桂芳县白云嘉禾路K座 901225,13820894943,余秀梅
安徽新能源科技有限公司,2025/1/25,11.45元/kg,2025/2/24,河南省雷县孝南乌鲁木齐路Q座 914257,18288845656,吴亮
安徽新能源科技有限公司,2025/1/31,11.39元/kg,2025/3/2,新疆维吾尔自治区贵阳县长寿张路G座 370192,15264198269,司秀荣
安徽新能源科技有限公司,2025/2/1,10.19元/kg,2025/3/3,澳门特别行政区建华县东丽李路l座 885287,15964577036,杨洁
浙江绿色能源有限公司,2025/1/28,10.89元/kg,2025/2/27,上海市霞县西峰李街N座 844892,18911853813,杨桂荣
山东锂电科技股份有限公司,2025/1/15,10.72元/kg,2025/2/14,海南省红梅市新城赵街Y座 342334,18955716623,姜彬
中国锂电池股份有限公司,2025/1/9,11.04元/kg,2025/2/8,湖南省凤兰县华龙李街X座 263935,15202176065,姚军
广州锂电池科技有限公司,2025/1/14,11.59元/kg,2025/2/13,山东省贵阳市静安黄路c座 390828,14513597496,王磊
广州锂电池科技有限公司,2025/2/3,11.4元/kg,2025/3/5,陕西省南京市牧野王路v座 901577,15522800952,呼斌
浙江绿色能源有限公司,2025/2/5,11.73元/kg,2025/3/7,海南省丹丹市清浦陈街J座 155729,14570419119,马峰
深圳创新能源科技有限公司,2025/1/14,10.59元/kg,2025/2/13,新疆维吾尔自治区乌鲁木齐市花溪李路q座 172295,18247277733,钟瑞
